url,title,bucket,priority,error,status,raw_path,extracted_path,bytes,chars
https://www.fdd.org/projects/iran-program/,FDD — Iran Program (Comprehensive Research Hub),iran_fdd,P1,,ok,/home/user/workspace/inquisitor_corpus/raw/iran_fdd/fdd-iran-program-comprehensive-research-hub-5b82b18b.html,/home/user/workspace/inquisitor_corpus/extracted/iran_fdd/fdd-iran-program-comprehensive-research-hub-5b82b18b.txt,17624,13945
https://www.hstoday.us/featured/column-terrorist-threat-assessment-boko-haram-and-iswap-in-nigeria/,Terrorist Threat Assessment: Boko Haram and ISWAP,ct_org_is_family,P1,403 Client Error: Forbidden for url: https://www.hstoday.us/featured/column-terrorist-threat-assessment-boko-haram-and-iswap-in-nigeria/,fail,,,0,0
https://www.dni.gov/files/documents/ICD/ICD-203.pdf,ICD 203 Analytic Standards,ct_doctrine_us_sof,P1,403 Client Error: Forbidden for url: https://www.dni.gov/files/documents/ICD/ICD-203.pdf,fail,,,0,0
https://www.hstoday.us/subject-matter-areas/counterterrorism/jnims-expansion-in-the-sahel-and-coastal-west-africa/,JNIM's Expansion in the Sahel and Coastal West Africa,ct_org_aq_family,P1,403 Client Error: Forbidden for url: https://www.hstoday.us/subject-matter-areas/counterterrorism/jnims-expansion-in-the-sahel-and-coastal-west-africa/,fail,,,0,0
https://www.iiss.org/publications/the-military-balance/,The Military Balance 2025: Russia/Ukraine Chapter,ukr_p3_usawc,P1,403 Client Error: Forbidden for url: https://www.iiss.org/publications/the-military-balance/,fail,,,0,0
https://www.dni.gov/files/documents/ICD/ICD_206.pdf,ICD 206 Sourcing Requirements for Disseminated Analytic Products,ct_doctrine_us_sof,P1,403 Client Error: Forbidden for url: https://www.dni.gov/files/documents/ICD/ICD_206.pdf,fail,,,0,0
https://www.intelligence.gov/assets/documents/archive/ATA-2021-Unclassified-Report.pdf,Annual Threat Assessment of the US Intelligence Community 2021,china_odni_ata,P1,403 Client Error: Forbidden for url: https://www.intelligence.gov/assets/documents/archive/ATA-2021-Unclassified-Report.pdf,fail,,,0,0
https://www.icct.nl/wp-content/uploads/2016/05/ICCT-Reed-Al-Qaeda-in-the-Indian-Subcontinent-May2016.pdf,AQIS: A New Frontline in the Global Jihadist Movement?,ct_org_aq_family,P1,404 Client Error: Not Found for url: https://icct.nl/wp-content/uploads/2016/05/ICCT-Reed-Al-Qaeda-in-the-Indian-Subcontinent-May2016.pdf,fail,,,0,0
https://www.jcs.mil/Portals/36/Documents/Doctrine/pubs/jp2_0.pdf,JP 2-0 Joint Intelligence,ct_doctrine_us_joint,P1,403 Client Error: Forbidden for url: https://www.jcs.mil/Portals/36/Documents/Doctrine/pubs/jp2_0.pdf,fail,,,0,0
https://www.lineofdeparture.army.mil/Portals/144/PDF/Journals/Intelligence/2024/Alternate-Targeting-UA.pdf,Optimizing the Alternate Targeting Methodology F3EAD,ct_doctrine_us_army,P1,403 Client Error: Forbidden for url: https://www.lineofdeparture.army.mil/Portals/144/PDF/Journals/Intelligence/2024/Alternate-Targeting-UA.pdf,fail,,,0,0
https://www.jcs.mil/Portals/36/Documents/Doctrine/pubs/jp3_26.pdf,JP 3-26 Counterterrorism,ct_doctrine_us_joint,P1,403 Client Error: Forbidden for url: https://www.jcs.mil/Portals/36/Documents/Doctrine/pubs/jp3_26.pdf,fail,,,0,0
https://www.rand.org/pubs/research_reports/RR1445.html,Employing Land-Based Anti-Ship Missiles in the Western Pacific,china_rand,P1,404 Client Error: Not Found for url: https://www.rand.org/pubs/research_reports/RR1445.html,fail,,,0,0
https://www.mnd.go.kr/user/mnd/upload/pblictn/PBLICTNEBOOK_201412180344595510.pdf,Republic of Korea 2022 Defense White Paper (English Edition),dprk_rok_govt,P1,404 Client Error: Not Found for url: https://www.mnd.go.kr/user/mnd/upload/pblictn/PBLICTNEBOOK_201412180344595510.pdf,fail,,,0,0
https://www.rand.org/pubs/research_reports/RRA413-2.html,"Characterizing the Risks of North Korean Chemical and Biological Weapons, EMP, and Cyber Threats (RAND/Asan)",dprk_rand,P1,404 Client Error: Not Found for url: https://www.rand.org/pubs/research_reports/RRA413-2.html,fail,,,0,0
https://www.rand.org/topics/islamic-state.html,RAND IS Defeat and Aftermath Reports,ct_org_is_family,P1,404 Client Error: Not Found for url: https://www.rand.org/topics/islamic-state.html,fail,,,0,0
https://www.rusi.org/explore-our-research/publications/special-resources/tactical-developments-third-year-russo-ukrainian-war,Tactical Developments During the Third Year of the Russo–Ukrainian War,ukr_p1_rusi,P1,404 Client Error: Not Found for url: https://www.rusi.org/explore-our-research/publications/special-resources/tactical-developments-third-year-russo-ukrainian-war,fail,,,0,0
https://www.stimson.org/project/north-korea-program/,Stimson Center — 38 North Program Archive (Pre-2022),dprk_38north,P1,404 Client Error: Not Found for url: https://www.stimson.org/project/north-korea-program/,fail,,,0,0
https://www.un.org/securitycouncil/sanctions/1267/monitoring-team,ISWAP-ISSP Coordination Analysis,ct_org_is_family,P1,404 Client Error: Not Found for url: https://main.un.org/securitycouncil/sanctions/1267/monitoring-team,fail,,,0,0
https://www.uscc.gov/sites/default/files/2019-11/2019_Annual_Report_to_Congress.pdf,USCC 2019 Annual Report to Congress,china_uscc_new,P1,404 Client Error: Not Found for url: https://www.uscc.gov/sites/default/files/2019-11/2019_Annual_Report_to_Congress.pdf,fail,,,0,0
https://www.washingtoninstitute.org/policy-analysis/militia-spotlight,WINEP — Militia Spotlight (Michael Knights — Iraqi Proxy Tracker),iran_winep,P1,404 Client Error: Not Found for url: https://www.washingtoninstitute.org/policy-analysis/militia-spotlight,fail,,,0,0
https://www.whitehouse.gov/wp-content/uploads/2018/10/NSCT.pdf,National Strategy for Counterterrorism 2018,ct_doctrine_us_sof,P1,404 Client Error: Not Found for url: https://www.whitehouse.gov/wp-content/uploads/2018/10/NSCT.pdf,fail,,,0,0
https://www.wilsoncenter.org/publication/hts-al-qaeda-affiliate-syrian-governing-authority,HTS: From al-Qaeda Affiliate to Syrian Governing Authority,ct_org_aq_family,P1,404 Client Error: Not Found for url: https://www.wilsoncenter.org/publication/hts-al-qaeda-affiliate-syrian-governing-authority,fail,,,0,0
https://academic.oup.com/jcsl/article/18/2/259/821647,"Targeted Killings: Contemporary Challenges, Risks and Opportunities",ct_tradecraft_targeted_killing,P2,403 Client Error: Forbidden for url: https://academic.oup.com/jcsl/article/18/2/259/821647,fail,,,0,0
http://fas.org/sgp/crs/terror/RL34194.pdf,Terrorism in Southeast Asia (includes JI),ct_org_se_asia,P2,404 Client Error: Not Found for url: https://fas.org/sgp/crs/terror/RL34194.pdf,fail,,,0,0
https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1164906/JDP_0-01_6th_Edition.pdf,JDP 0-01 UK Defence Doctrine (6th Ed),ct_doctrine_uk,P2,404 Client Error: Not Found for url: https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1164906/JDP_0-01_6th_Edition.pdf,fail,,,0,0
https://crsreports.congress.gov/product/pdf/R/R44361,China's Military Actions in the Taiwan Strait: Issues for Congress (R44361),china_crs,P2,,ok,/home/user/workspace/inquisitor_corpus/raw/china_crs/china-s-military-actions-in-the-taiwan-strait-issues-for-congress-r44361-14d37c18.html,/home/user/workspace/inquisitor_corpus/extracted/china_crs/china-s-military-actions-in-the-taiwan-strait-issues-for-congress-r44361-14d37c18.txt,343230,668
https://crsreports.congress.gov/product/pdf/IF/IF10275,Taiwan: Defense and Military Issues (IF10275),china_crs,P2,,ok,/home/user/workspace/inquisitor_corpus/raw/china_crs/taiwan-defense-and-military-issues-if10275-1dc0559c.html,/home/user/workspace/inquisitor_corpus/extracted/china_crs/taiwan-defense-and-military-issues-if10275-1dc0559c.txt,376329,15161
https://csbaonline.org/uploads/documents/CSBA8379_(Russia_Report,More of the Same? The Future of the Russian Military,ukr_p1_csba,P2,404 Client Error: Not Found for url: https://csbaonline.org/uploads/documents/CSBA8379_(Russia_Report,fail,,,0,0
https://csbaonline.org/uploads/documents/CSBA8411_(Navy_of_Necessity_Report,A Navy of Necessity: Ukraine's Unmanned Surface Vessels at War,ukr_p2_csba,P2,404 Client Error: Not Found for url: https://csbaonline.org/uploads/documents/CSBA8411_(Navy_of_Necessity_Report,fail,,,0,0
https://fas.org/sgp/crs/row/R43245.pdf,CRS Report: Al Shabaab,ct_org_shabaab,P2,404 Client Error: Not Found for url: https://fas.org/sgp/crs/row/R43245.pdf,fail,,,0,0
https://indsr.org.tw/en/respublications?uid=16,2021 Report on Development of CCP's Politics and Military Affairs,china_au_govt,P2,"HTTPSConnectionPool(host='indsr.org.tw', port=443): Max retries exceeded with url: /en/respublications?uid=16 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))",fail,,,0,0
https://jamestown.org/program/the-plas-joint-logistics-support-force-six-years-on/,The PLA's Joint Logistics Support Force: Six Years On,china_jamestown,P2,404 Client Error: Not Found for url: https://jamestown.org/the-plas-joint-logistics-support-force-six-years-on/,fail,,,0,0
https://jamestown.org/program/the-plas-new-multi-domain-precision-warfare-concept/,The PLA's New Multi-Domain Precision Warfare Concept,china_jamestown,P2,404 Client Error: Not Found for url: https://jamestown.org/the-plas-new-multi-domain-precision-warfare-concept/,fail,,,0,0
https://jamestown.org/programs/chinabrief/,"China Brief Archive (all issues, searchable)",china_jamestown,P2,404 Client Error: Not Found for url: https://jamestown.org/publications/chinabrief/,fail,,,0,0
https://crsreports.congress.gov/product/pdf/R/R45861,China's Nuclear Forces: Overview and Issues for Congress (RL33153-related),china_crs,P2,,ok,/home/user/workspace/inquisitor_corpus/raw/china_crs/china-s-nuclear-forces-overview-and-issues-for-congress-rl33153-related-b88cb899.html,/home/user/workspace/inquisitor_corpus/extracted/china_crs/china-s-nuclear-forces-overview-and-issues-for-congress-rl33153-related-b88cb899.txt,348139,1312
https://mil.ee/en/defence-forces/publications/,Estonian Defence Forces Annual Yearbook 2023,ukr_p1_usawc,P2,404 Client Error: Not Found for url: https://mil.ee/en/defence-forces/publications/,fail,,,0,0
https://nllp.jallc.nato.int/iks/sharing%20public/rand_rra2950-1.pdf,Lessons from the War in Ukraine for Space Operations,ukr_p1_rand,P2,403 Client Error: Forbidden for url: https://nllp.jallc.nato.int/iks/sharing%20public/rand_rra2950-1.pdf,fail,,,0,0
